Muirhall,
Spirit 3CC4 Vat No. 2,
Stapping points April 1989 / August 2000,
0,0
0.2,2
0.4,4
0.6,6
0.8,9
1,11
1.2,13
1.4,16
1.6,18
1.8,20
2,23
2.2,25
2.4,27
2.6,30
2.8,32
3,34
3.2,37
3.4,39
3.6,41
3.8,44
4,46
4.2,48
4.4,51
4.6,53
4.8,55
5,58
5.2,60
5.4,62
5.6,65
5.8,67
6,69
6.2,72
6.4,74
6.6,76
6.8,79
7,81
7.2,83
7.4,86
7.6,88
7.8,90
8,93
8.2,95
8.4,97
8.6,100
8.8,106
9,113
9.2,119
9.4,126
9.6,133
9.8,139
10,146
10.2,153
10.4,159
10.6,166
10.8,173
11,179
11.2,186
11.4,193
11.6,199
11.8,206
12,213
12.2,219
12.4,226
12.6,233
12.8,239
13,246
13.2,253
13.4,259
13.6,266
13.8,273
14,279
14.2,286
14.4,293
14.6,300
14.8,310
15,320
15.2,330
15.4,340
15.6,350
15.8,360
16,370
16.2,380
16.4,390
16.6,400
16.8,410
17,420
17.2,430
17.4,440
17.6,450
17.8,460
18,470
18.2,480
18.4,490
18.6,500
18.8,510
19,520
19,520
19,520
19,520
19,520
